date,t_mean,t_max,t_min,rh_mean,app_t_mean,app_t_max,hours_above_32,city
2015-02-18,26.054166666666664,32.3,20.3,46.625,26.575,33.9,2,salem
2015-02-18,25.275,32.0,19.4,64.625,27.166666666666668,34.4,0,trichy
2015-02-19,24.7375,30.3,19.6,72.83333333333333,26.8,32.9,0,chennai
2015-02-19,25.22083333333333,32.3,19.3,49.458333333333336,25.6875,32.6,2,coimbatore
2015-02-19,26.3625,34.0,19.8,54.0,27.579166666666666,34.3,6,madurai
2015-02-19,26.09166666666667,32.9,20.1,47.29166666666666,26.675,34.0,3,salem
2015-02-19,25.65,32.8,19.6,58.41666666666666,26.96666666666667,34.1,4,trichy
2015-02-20,24.6875,29.6,21.1,72.95833333333333,26.995833333333337,32.6,0,chennai
2015-02-20,24.09583333333333,31.5,17.0,49.333333333333336,23.745833333333337,30.9,0,coimbatore
2015-02-20,25.754166666666663,33.0,17.8,57.958333333333336,27.008333333333336,33.8,4,madurai
2015-02-20,25.354166666666668,32.5,19.5,51.66666666666666,25.90416666666667,32.7,2,salem
2015-02-20,25.129166666666663,32.5,18.1,62.208333333333336,26.308333333333337,34.1,3,trichy
2015-02-21,24.65416666666667,29.8,20.4,72.41666666666667,26.933333333333337,32.5,0,chennai
2015-02-21,23.508333333333336,30.6,16.3,51.0,23.054166666666664,29.9,0,coimbatore
2015-02-21,25.67083333333333,32.8,17.9,58.66666666666666,26.8375,33.9,3,madurai
2015-02-21,24.71666666666667,32.0,18.0,54.54166666666666,25.2125,32.4,0,salem
2015-02-21,25.5625,32.4,19.2,62.458333333333336,26.85,33.8,3,trichy
2015-02-22,24.825,30.5,20.1,71.83333333333333,27.116666666666664,32.9,0,chennai
2015-02-22,24.2625,31.3,17.8,45.625,23.59166666666667,30.2,0,coimbatore
2015-02-22,26.175,33.7,18.5,57.29166666666666,27.166666666666668,33.6,6,madurai
2015-02-22,25.241666666666664,32.9,18.3,49.208333333333336,25.0625,31.8,4,salem
2015-02-22,25.8375,33.1,19.7,59.625,26.725,33.6,4,trichy
2015-02-23,24.516666666666666,30.4,19.7,73.125,27.058333333333337,33.2,0,chennai
2015-02-23,24.14583333333333,31.0,18.6,37.083333333333336,22.85,29.9,0,coimbatore
2015-02-23,25.92083333333333,33.5,18.3,58.333333333333336,27.33333333333333,34.9,5,madurai
2015-02-23,25.175,32.9,18.4,44.083333333333336,24.5375,31.9,4,salem
2015-02-23,25.879166666666663,33.4,19.2,60.66666666666666,27.204166666666666,35.0,5,trichy
2015-02-24,24.625,30.9,19.4,72.66666666666667,27.1,33.7,0,chennai
2015-02-24,24.870833333333337,31.7,19.1,36.958333333333336,23.83333333333333,31.4,0,coimbatore
2015-02-24,26.58333333333333,33.3,19.1,57.04166666666666,27.96666666666667,34.1,5,madurai
2015-02-24,25.28333333333333,32.8,17.7,46.54166666666666,25.079166666666666,32.9,4,salem
2015-02-24,26.391666666666666,33.3,20.0,58.083333333333336,27.291666666666668,34.0,4,trichy
2015-02-25,24.604166666666668,30.8,18.9,71.41666666666667,26.90833333333333,32.9,0,chennai
2015-02-25,26.354166666666668,32.7,19.2,38.625,26.070833333333336,33.4,3,coimbatore
2015-02-25,26.825,32.0,24.0,63.79166666666666,29.629166666666663,35.7,0,madurai
2015-02-25,26.29583333333333,33.2,19.7,45.583333333333336,26.695833333333336,34.1,5,salem
2015-02-25,26.754166666666663,32.8,22.1,64.29166666666667,28.85,34.4,3,trichy
2015-02-26,25.58333333333333,30.9,20.1,73.5,28.47083333333333,34.6,0,chennai
2015-02-26,26.058333333333337,32.1,19.9,57.29166666666666,27.625,34.7,2,coimbatore
2015-02-26,27.0875,31.7,23.7,72.33333333333333,31.079166666666666,35.7,0,madurai
2015-02-26,27.316666666666663,33.3,21.2,54.583333333333336,29.308333333333337,36.2,5,salem
2015-02-26,27.40833333333333,32.6,23.9,69.33333333333333,30.866666666666664,36.2,4,trichy
2015-02-27,26.71666666666667,30.5,23.2,77.25,30.058333333333337,33.9,0,chennai
2015-02-27,26.495833333333337,33.0,20.9,61.79166666666666,28.995833333333337,36.9,3,coimbatore
2015-02-27,26.84583333333333,33.6,22.9,75.5,31.266666666666666,38.8,5,madurai
2015-02-27,27.700000000000003,33.2,23.8,64.41666666666667,31.066666666666663,37.1,4,salem
2015-02-27,27.745833333333337,33.7,24.0,73.125,32.204166666666666,38.4,5,trichy
2015-02-28,26.691666666666663,29.5,24.1,77.33333333333333,29.7,32.3,0,chennai
2015-02-28,26.125,32.6,21.0,61.458333333333336,28.60833333333333,36.8,2,coimbatore
2015-02-28,27.29583333333333,33.0,23.1,71.66666666666667,31.325,37.8,2,madurai
2015-02-28,27.2125,33.4,23.5,70.45833333333333,31.08333333333333,38.0,4,salem
2015-02-28,27.94583333333333,34.3,23.5,72.0,32.0,39.3,4,trichy
2015-03-01,27.054166666666664,30.0,24.6,73.5,29.4375,32.8,0,chennai
2015-03-01,26.53333333333333,33.0,21.5,64.375,29.329166666666666,36.9,3,coimbatore
2015-03-01,27.5875,33.5,22.7,67.625,31.183333333333337,37.3,4,madurai
2015-03-01,27.7,33.1,23.2,62.54166666666666,30.441666666666663,35.5,5,salem
2015-03-01,28.0375,33.9,23.2,68.58333333333333,31.27083333333333,37.0,6,trichy
2015-03-02,26.75,30.0,24.3,75.125,29.695833333333336,33.1,0,chennai
2015-03-02,25.791666666666668,31.7,22.8,72.66666666666667,29.29583333333333,36.0,0,coimbatore
2015-03-02,27.741666666666664,33.4,23.0,69.33333333333333,31.65416666666667,37.1,4,madurai
2015-03-02,28.070833333333336,32.7,23.6,61.208333333333336,31.116666666666664,36.4,4,salem
2015-03-02,28.041666666666668,33.2,24.1,68.95833333333333,31.675,36.4,5,trichy
2015-03-03,27.1375,31.7,23.9,74.08333333333333,31.054166666666664,36.6,0,chennai
2015-03-03,25.42083333333333,30.4,21.8,75.66666666666667,29.066666666666663,34.6,0,coimbatore
2015-03-03,27.7625,32.9,24.4,67.875,31.725,36.3,4,madurai
2015-03-03,27.59583333333333,31.8,24.3,65.66666666666667,31.14583333333333,35.3,0,salem
2015-03-03,28.375,34.0,23.3,64.33333333333333,31.675,37.4,6,trichy
2015-03-04,27.691666666666663,32.3,24.1,73.54166666666667,31.19583333333333,36.6,1,chennai
2015-03-04,25.766666666666666,31.9,21.9,71.83333333333333,29.1,36.1,0,coimbatore
2015-03-04,28.883333333333336,34.4,24.5,60.75,32.266666666666666,37.9,6,madurai
2015-03-04,27.15833333333333,33.5,23.5,71.875,31.304166666666664,37.6,4,salem
